symbol;countries;percentage
VWCE.MI;Stati Uniti America;61.94 
VWCE.MI;Giappone;6.39 
VWCE.MI;Regno Unito;3.36 
VWCE.MI;Cina;2.65 
VWCE.MI;Svizzera;2.54 
VWCE.MI;Francia;2.52 
VWCE.MI;Canada;2.23 
VWCE.MI;India;2.02 
VWCE.MI;Germania;2.02 
VWCE.MI;Australia;1.82 
VWCE.MI;Taiwan;1.70 
VWCE.MI;Paesi Bassi;1.43 
VWCE.MI;Korea South;1.27 
VWCE.MI;Svezia;0.81 
VWCE.MI;Danimarca;0.80 
VWCE.MI;Brasile;0.74 
VWCE.MI;Spagna;0.62 
VWCE.MI;Italia;0.60 
VWCE.MI;Hong Kong;0.48 
VWCE.MI;Arabia Saudita;0.46 
VWCE.MI;Singapore;0.35 
VWCE.MI;Messico;0.32 
VWCE.MI;Sudafrica;0.28 
VWCE.MI;Finlandia;0.24 
VWCE.MI;Indonesia;0.21 
VWCE.MI;Thailandia;0.19 
VWCE.MI;Belgio;0.19 
VWCE.MI;Emirati Arabi Uniti;0.17 
VWCE.MI;Israele;0.17 
VWCE.MI;Malesia;0.16 
VWCE.MI;Norvegia;0.15 
VWCE.MI;Turchia;0.12 
VWCE.MI;Qatar;0.10 
VWCE.MI;Nuova Zelanda;0.09 
VWCE.MI;Kuwait;0.09 
VWCE.MI;Polonia;0.09 
VWCE.MI;Irlanda;0.08 
VWCE.MI;Filippine;0.07 
VWCE.MI;Grecia;0.06 
VWCE.MI;Cile;0.05 
VWCE.MI;Austria;0.05 
VWCE.MI;Portogallo;0.04 
VWCE.MI;Ungheria;0.03 
VWCE.MI;Romania;0.02 
VWCE.MI;Perù;0.02 
VWCE.MI;Colombia;0.01 
VWCE.MI;Cechia;0.01 
VWCE.MI;Macao;0.01 
VWCE.MI;Egitto;0.01 
VWCE.MI;Islanda;0.01 
VFEA.MI;Cina;28.03
VFEA.MI;India;21.62
VFEA.MI;Taiwan;18.07
VFEA.MI;Brasile;6.48
VFEA.MI;Arabia Saudita;4.87
VFEA.MI;Messico;3.22
VFEA.MI;Sudafrica;2.97
VFEA.MI;Indonesia;2.22
VFEA.MI;Thailandia;2.05
VFEA.MI;Emirati Arabi Uniti;1.82
VFEA.MI;Malesia;1.78
VFEA.MI;Turchia;1.30
VFEA.MI;Qatar;1.02
VFEA.MI;Kuwait;0.94
VFEA.MI;Filippine;0.80
VFEA.MI;Grecia;0.62
VFEA.MI;Cile;0.59
VFEA.MI;Ungheria;0.29
VFEA.MI;Hong Kong;0.26
VFEA.MI;Romania;0.20
VFEA.MI;Stati Uniti America;0.19
VFEA.MI;Colombia;0.17
VFEA.MI;Cechia;0.15
VFEA.MI;Islanda;0.10
VFEA.MI;Egitto;0.09
VFEA.MI;Lussemburgo;0.05
VFEA.MI;Singapore;0.03
VFEA.MI;Belgio;0.03
VHVE.MI;Stati Uniti America;68.33
VHVE.MI;Giappone;7.06
VHVE.MI;Regno;3.71
VHVE.MI;Svizzera;2.81
VHVE.MI;Francia;2.77
VHVE.MI;Canada;2.47
VHVE.MI;Germania;2.24
VHVE.MI;Australia;2.01
VHVE.MI;Paesi Bassi;1.58
VHVE.MI; Korea del Sud;1.40
VHVE.MI;Svezia;0.89
VHVE.MI;Danimarca;0.88
VHVE.MI;Spagna;0.68
VHVE.MI;Italia;0.66
VHVE.MI;Hong Kong;0.50
VHVE.MI;Singapore;0.37
VHVE.MI;Finlandia;0.27
VHVE.MI;Belgio;0.21
VHVE.MI;Israele;0.18
VHVE.MI;Norvegia;0.17
VHVE.MI;Brasile;0.15
VHVE.MI;Nuova Zelanda;0.10
VHVE.MI;Polonia;0.09
VHVE.MI;Irlanda;0.09
VHVE.MI;Austria;0.05
VHVE.MI;Portogallo;0.04
VHVE.MI;Cina;0.03
VHVE.MI;Perù;0.02
VHVE.MI;Messico;0.02
VHVE.MI;Macao;0.02
AGGH.MI;Uruguay;0.02
AGGH.MI;Stati Uniti America;37.39
AGGH.MI;Regno Unito;4.32
AGGH.MI;Emirati Arabi Uniti;0.20
AGGH.MI;Thailandia;0.31
AGGH.MI;Taiwan;0.02
AGGH.MI;Svizzera;0.97
AGGH.MI;Svezia;0.63
AGGH.MI;Sovranazionali;2.31
AGGH.MI;Spagna;2.27
AGGH.MI;Sudafrica;0.03
AGGH.MI;Slovenia;0.04
AGGH.MI;Slovak Republic;0.09
AGGH.MI;Singapore;0.29
AGGH.MI;Arabia Saudita;0.25
AGGH.MI;Russian Federation;0.00
AGGH.MI;Romania;0.20
AGGH.MI;Qatar;0.08
AGGH.MI;Portogallo;0.28
AGGH.MI;Polonia;0.32
AGGH.MI;Filippine;0.06
AGGH.MI;Perù;0.11
AGGH.MI;Panama;0.06
AGGH.MI;Norvegia;0.31
AGGH.MI;Nigeria;0.00
AGGH.MI;Nuova Zelanda;0.21
AGGH.MI;Paesi Bassi;1.29
AGGH.MI;Messico;0.58
AGGH.MI;Malta;0.00
AGGH.MI;Malaysia;0.40
AGGH.MI;Macau;0.01
AGGH.MI;Lussemburgo;0.10
AGGH.MI;Lituania;0.01
AGGH.MI;Lettonia;0.01
AGGH.MI;Kuwait;0.02
AGGH.MI;Korea South;1.39
AGGH.MI;Kazakistan;0.02
AGGH.MI;Giappone;10.64
AGGH.MI;Italia;3.11
AGGH.MI;Israele;0.16
AGGH.MI;Irlanda;2.74
AGGH.MI;Indonesia;0.64
AGGH.MI;India;0.06
AGGH.MI;Islanda;0.01
AGGH.MI;Ungheria;0.14
AGGH.MI;Hong Kong;0.14
AGGH.MI;Grecia;0.14
AGGH.MI;Germania;4.72
AGGH.MI;Francia;5.16
AGGH.MI;Finlandia;0.35
AGGH.MI;Estonia;0.00
AGGH.MI;Danimarca;0.36
AGGH.MI;Rep. Ceca;0.17
AGGH.MI;Cipro;0.01
AGGH.MI;Croatia;0.03
AGGH.MI;Colombia;0.12
AGGH.MI;Cina;9.65
AGGH.MI;Cile;0.17
AGGH.MI;Isole Cayman;0.00
AGGH.MI;Canada;3.47
AGGH.MI;Bulgaria;0.03
AGGH.MI;Brasile;0.05
AGGH.MI;Bermuda;0.02
AGGH.MI;Belgio;0.92
AGGH.MI;Bahrein;0.00
AGGH.MI;Austria;0.61
AGGH.MI;Australia;1.67
EHYA.MI;Stati Uniti America;13.48
EHYA.MI;Regno Unito ;6.80
EHYA.MI;Svizzera;0.53
EHYA.MI;Svezia;3.53
EHYA.MI;Spagna;11.63
EHYA.MI;Portogallo;1.11
EHYA.MI;Paesi Bassi;2.14
EHYA.MI;Lussemburgo;1.68
EHYA.MI;Giappone;2.65
EHYA.MI;Italia;19.82
EHYA.MI;Irlanda;1.93
EHYA.MI;Grecia;5.38
EHYA.MI;Germania;5.96
EHYA.MI;Francia;21.07
EHYA.MI;Finlandia;0.83
EHYA.MI;Cipro;0.46
EHYA.MI;Belgio;0.82
EHYA.MI;Austria;0.33
EHYA.MI;Australia;0.26
EM1015.MI;Spagna;12.29
EM1015.MI;Portogallo;3.48
EM1015.MI;Paesi Bassi;5.33
EM1015.MI;Italia;27.78
EM1015.MI;Irlanda;1.43
EM1015.MI;Germania;15.24
EM1015.MI;Francia;22.47
EM1015.MI;Finlandia;0.99
EM1015.MI;Belgio;7.19
EM1015.MI;Austria;3.79
EIMI.MI;Cina;22.8
EIMI.MI;Taiwan;19.72
EIMI.MI;India;19.32
EIMI.MI;Corea del Sud;9.09
EIMI.MI;Arabia Saudita;3.99
EIMI.MI;Brasile;3.78
EIMI.MI;Sudafrica;2.39
EIMI.MI;Malaysia;1.69
EIMI.MI;Thailandia;1.58
QCEU.MI;Regno Unito;24.65
QCEU.MI;Svizzera;26.8
QCEU.MI;Svezia;6.87
QCEU.MI;Spagna;1.62
QCEU.MI;Portogallo;0.11
QCEU.MI;Norvegia;0.47
QCEU.MI;Paesi Bassi;8.79
QCEU.MI;Italia;2.55
QCEU.MI;Irlanda;0.2
QCEU.MI;Germania;7.26
QCEU.MI;Francia;13.93
SWDA.MI;Stati Uniti;70.46
SWDA.MI;Giappone;5.3
SWDA.MI;Regno Unito;3.3
SWDA.MI;Canada;2.73
SWDA.MI;Svizzera;2.43
SWDA.MI;Francia;2.33
SWDA.MI;Germania;2.1
SWDA.MI;Australia;1.66
SWDA.MI;Irlanda;1.34
XEON.MI;Europa;100
EM710.MI;Italia;19.54
EM710.MI;Francia;17.45
EM710.MI;Germania;13.71
EM710.MI;Spagna;12.31
EM710.MI;Belgio;4.48
EM710.MI;Irlanda;2.79
EM710.MI;Paesi bassi;2.13
EM710.MI;Austria;1.91
EM710.MI;Portogallo;1.61
EM710.MI;Finlandia;1.34